food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC299,Moong dal halwa,asc_manual,1461.34,349.8,40.23,8.35,17.68,25.59,2.65,10384.38,4714.05,972.72,34.81,110.4,172.44,46.78,11.19,386.87,1.51,0.28,18.24,0.02,0.44,0.14,1.05,130.49,1.04,1.02,0.0,1.91,0.0,36.19,0.11,0.05,0.54,0.45,0.06,3.42,36.19,0.03,442.28,bowl,1393.98,333.68,38.37,7.97,16.86,24.41,2.53,9905.66,4496.73,927.87,33.21,105.31,164.49,44.62,10.67,369.03,1.44,0.26,17.4,0.02,0.42,0.13,1.0,124.47,0.99,0.98,0.0,1.82,0.0,34.53,0.1,0.04,0.51,0.43,0.06,3.26,34.53,0.03,421.89
ASC300,Caramel custard (steamed),asc_manual,512.2,121.58,15.02,4.97,4.87,14.98,0.0,2387.76,1535.17,337.52,78.88,88.12,102.44,8.22,43.57,105.29,0.51,0.05,9.33,0.0,0.01,0.0,0.49,42.67,0.47,0.0,0.18,0.0,3.15,15.17,0.03,0.11,0.08,0.54,0.06,5.21,15.17,1.3,158.41,bowl,1188.3,282.06,34.84,11.53,11.3,34.76,0.0,5539.6,3561.6,783.04,183.0,204.43,237.66,19.07,101.08,244.28,1.19,0.11,21.64,0.01,0.03,0.0,1.14,99.0,1.09,0.0,0.42,0.0,7.3,35.21,0.08,0.26,0.18,1.25,0.14,12.09,35.21,3.02,367.5
ASC301,Baked custard,asc_manual,447.46,106.53,9.45,5.41,5.3,9.42,0.0,2600.75,1672.11,367.62,85.92,95.32,111.51,8.82,47.13,114.36,0.54,0.04,10.16,0.0,0.01,0.0,0.53,46.48,0.51,0.0,0.2,0.0,3.43,16.53,0.04,0.12,0.08,0.58,0.07,5.68,16.53,1.42,172.54,bowl,953.1,226.9,20.14,11.53,11.3,20.06,0.0,5539.6,3561.6,783.04,183.0,203.03,237.52,18.78,100.38,243.58,1.16,0.1,21.64,0.01,0.03,0.0,1.12,99.0,1.09,0.0,0.42,0.0,7.3,35.21,0.08,0.26,0.18,1.25,0.14,12.09,35.21,3.02,367.5
ASC304,Chocolate ice cream,asc_manual,743.06,177.7,15.41,4.47,11.25,15.33,0.0,6645.93,3241.97,486.99,68.26,84.24,97.52,13.63,36.79,118.05,0.47,0.08,6.08,0.0,0.05,0.0,0.49,125.74,0.54,0.0,0.11,0.15,1.97,11.79,0.03,0.14,0.11,0.45,0.05,4.35,11.79,1.1,151.62,ice-cream cup,2756.75,659.28,57.17,16.58,41.72,56.87,0.0,24656.4,12027.7,1806.74,253.25,312.53,361.79,50.57,136.48,437.98,1.76,0.29,22.55,0.01,0.18,0.0,1.81,466.5,2.01,0.0,0.42,0.57,7.3,43.75,0.12,0.5,0.4,1.66,0.18,16.14,43.75,4.06,562.5
ASC305,Mango ice cream,asc_manual,525.33,125.69,11.14,3.4,7.62,11.01,0.52,4443.61,2141.03,373.04,55.21,67.17,71.52,9.6,29.13,115.29,0.39,0.05,5.22,0.01,0.07,0.0,0.35,101.48,0.43,1.02,0.09,1.31,1.6,31.2,0.03,0.11,0.13,0.37,0.07,3.75,31.2,9.86,506.3,ice-cream cup,2395.5,573.13,50.78,15.52,34.74,50.2,2.35,20262.85,9763.1,1701.04,251.75,306.29,326.15,43.76,132.84,525.73,1.8,0.23,23.8,0.03,0.3,0.0,1.58,462.75,1.97,4.64,0.42,5.96,7.3,142.26,0.14,0.52,0.61,1.69,0.32,17.09,142.26,44.98,2308.75
ASC307,Fruit Ice cream (Phalon ka Ice cream),asc_manual,717.81,171.46,16.05,4.37,10.38,14.03,0.33,5380.76,2147.27,263.88,17.12,93.35,70.28,6.73,38.78,119.98,0.36,0.03,0.67,0.0,0.01,0.0,0.26,90.58,0.25,0.0,0.0,0.0,0.0,4.85,0.02,0.11,0.07,0.25,0.03,1.8,4.85,1.25,145.99,ice-cream cup,2305.97,550.82,51.56,14.05,33.35,45.07,1.07,17285.7,6898.1,847.7,55.0,299.88,225.76,21.63,124.59,385.44,1.17,0.08,2.16,0.01,0.02,0.0,0.85,291.0,0.8,0.0,0.0,0.0,0.0,15.6,0.08,0.36,0.22,0.81,0.09,5.77,15.6,4.02,469.0
ASC308,Caramel ice cream,asc_manual,725.49,173.52,14.81,4.31,11.15,14.52,0.08,6418.38,3295.95,548.2,54.79,87.32,91.34,11.98,33.47,105.17,0.35,0.06,4.41,0.0,0.04,0.01,0.43,125.11,0.52,0.05,0.08,0.25,1.35,9.56,0.04,0.12,0.1,0.39,0.04,3.41,9.56,1.2,168.25,ice-cream cup,1969.33,471.03,40.19,11.71,30.27,39.42,0.23,17422.7,8946.87,1488.09,148.73,237.03,247.93,32.51,90.84,285.47,0.95,0.17,11.97,0.01,0.1,0.03,1.18,339.6,1.41,0.13,0.21,0.68,3.65,25.96,0.1,0.34,0.27,1.07,0.12,9.25,25.96,3.27,456.72
ASC309,Lemon souffle,asc_manual,705.67,168.51,13.43,6.95,10.02,11.67,0.0,5765.42,2873.65,523.64,100.42,59.81,75.16,7.4,50.73,88.44,0.56,0.02,9.28,0.0,0.01,0.0,0.42,164.56,0.52,0.0,0.18,0.0,3.08,13.55,0.03,0.12,0.08,0.45,0.05,5.03,13.55,5.44,100.53,souffle cup,1672.45,399.36,31.83,16.47,23.75,27.67,0.0,13664.05,6810.55,1241.02,238.0,141.75,178.12,17.54,120.22,209.6,1.34,0.06,21.99,0.0,0.02,0.0,0.99,390.0,1.23,0.0,0.42,0.0,7.3,32.11,0.07,0.29,0.19,1.08,0.13,11.92,32.11,12.9,238.25
ASC310,Orange souffle,asc_manual,704.69,168.28,14.2,6.8,9.73,12.31,0.22,5592.12,2794.54,502.56,97.54,59.04,73.8,8.23,49.22,101.26,0.65,0.03,8.9,0.0,0.01,0.0,0.4,159.84,0.51,0.06,0.17,0.44,2.99,15.55,0.04,0.12,0.11,0.46,0.05,5.39,15.55,7.85,214.64,souffle cup,1719.45,410.61,34.65,16.59,23.73,30.03,0.55,13644.77,6818.69,1226.24,238.0,144.05,180.07,20.08,120.1,247.06,1.58,0.07,21.73,0.01,0.03,0.0,0.98,390.0,1.24,0.14,0.42,1.06,7.3,37.93,0.09,0.29,0.27,1.12,0.13,13.14,37.93,19.16,523.72
ASC311,Vanilla souffle,asc_manual,786.62,187.85,14.78,7.71,11.19,12.86,0.0,6452.94,3215.03,564.02,109.43,70.6,86.96,7.7,56.73,90.16,0.58,0.03,10.02,0.0,0.01,0.0,0.46,179.31,0.58,0.0,0.19,0.0,3.36,14.12,0.03,0.14,0.08,0.5,0.05,5.62,14.12,0.6,122.69,souffle cup,1710.9,408.58,32.15,16.78,24.35,27.97,0.0,14035.15,6992.7,1226.74,238.0,153.56,189.13,16.74,123.39,196.1,1.26,0.06,21.79,0.0,0.02,0.0,1.01,390.0,1.26,0.0,0.42,0.0,7.3,30.71,0.06,0.3,0.17,1.09,0.12,12.22,30.71,1.3,266.85
ASC312,Chocolate souffle,asc_manual,792.69,189.32,14.74,7.88,11.36,12.69,0.0,6554.14,3276.66,565.78,108.18,71.55,94.96,14.67,56.07,109.25,0.71,0.08,9.9,0.0,0.01,0.0,0.55,177.27,0.58,0.0,0.19,0.02,3.32,14.48,0.03,0.14,0.1,0.49,0.05,5.55,14.48,0.59,121.84,souffle cup,1743.93,416.5,32.43,17.33,25.0,27.91,0.0,14419.1,7208.65,1244.72,238.0,157.4,208.9,32.28,123.34,240.35,1.57,0.18,21.79,0.0,0.02,0.0,1.22,390.0,1.28,0.0,0.42,0.05,7.3,31.85,0.07,0.3,0.22,1.09,0.12,12.22,31.85,1.3,268.05
ASC313,Pineapple souffle ,asc_manual,821.36,196.14,15.52,8.06,11.72,13.45,0.0,6747.05,3371.56,597.04,117.82,67.23,86.45,7.64,59.17,88.17,0.61,0.03,10.72,0.0,0.01,0.0,0.48,193.07,0.61,0.0,0.21,0.0,3.62,14.68,0.03,0.14,0.08,0.51,0.05,5.9,14.68,0.5,117.25,souffle cup,1659.15,396.21,31.34,16.29,23.68,27.18,0.0,13629.05,6810.55,1206.02,238.0,135.8,174.62,15.44,119.53,178.1,1.23,0.06,21.64,0.0,0.02,0.0,0.96,390.0,1.23,0.0,0.42,0.0,7.3,29.66,0.06,0.29,0.16,1.04,0.11,11.92,29.66,1.0,236.85
ASC314,Apple mousse,asc_manual,447.82,106.92,12.77,4.21,4.27,10.56,1.6,2169.32,1202.89,422.74,57.67,33.76,43.78,8.41,28.79,109.32,0.48,0.04,6.27,0.0,0.04,0.23,0.28,66.99,0.36,0.9,0.12,2.25,2.0,9.65,0.03,0.06,0.19,0.3,0.05,3.09,9.65,3.97,183.0,bowl,1634.53,390.28,46.59,15.36,15.6,38.54,5.83,7918.0,4390.54,1543.0,210.5,123.22,159.79,30.68,105.07,399.02,1.74,0.15,22.88,0.02,0.13,0.84,1.01,244.5,1.33,3.29,0.42,8.21,7.3,35.22,0.12,0.21,0.69,1.11,0.19,11.28,35.22,14.48,667.95
