food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC066,Jam and fruit pancake,asc_manual,675.43,162.02,20.73,3.79,7.01,7.85,1.21,1792.72,1632.64,3082.64,23.09,54.06,68.54,11.9,93.09,110.42,0.52,0.06,2.93,0.0,0.41,0.01,0.37,12.49,2.54,1.07,0.05,1.0,0.92,12.8,0.05,0.07,0.19,0.36,0.07,2.25,12.8,9.85,146.33,pancake,444.27,106.57,13.63,2.49,4.61,5.16,0.79,1179.16,1073.87,2027.6,15.19,35.56,45.08,7.83,61.23,72.63,0.34,0.04,1.93,0.0,0.27,0.01,0.24,8.22,1.67,0.71,0.03,0.66,0.61,8.42,0.03,0.05,0.12,0.24,0.05,1.48,8.42,6.48,96.25
ASC067,Khoa and coconut pancake,asc_manual,1138.78,271.98,27.32,6.98,15.29,16.47,1.65,6999.29,2755.89,3040.07,21.35,157.22,151.28,22.61,101.0,205.43,1.12,0.1,10.61,0.02,0.25,0.01,0.8,11.55,2.54,1.04,0.05,2.87,0.85,26.87,0.06,0.09,0.25,0.39,0.06,5.5,26.87,1.02,171.62,pancake,810.24,193.51,19.44,4.97,10.88,11.72,1.18,4979.99,1960.81,2163.01,15.19,111.86,107.64,16.09,71.86,146.17,0.8,0.07,7.55,0.02,0.18,0.01,0.57,8.22,1.81,0.74,0.03,2.04,0.61,19.12,0.04,0.06,0.18,0.28,0.04,3.91,19.12,0.73,122.11
ASC068,Brown stock,asc_manual,89.24,21.32,0.25,1.95,1.38,0.14,0.09,2.98,1.64,7.67,0.0,17.16,16.78,0.72,44.6,36.68,0.3,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.0,0.04,0.0,0.37,0.0,1.3,0.02,0.02,0.71,0.01,0.0,0.05,1.3,0.31,101.74,cup,433.78,103.65,1.22,9.47,6.73,0.68,0.46,14.48,7.95,37.28,0.0,83.43,81.58,3.49,216.78,178.28,1.44,0.02,0.12,0.0,0.07,0.01,0.05,0.0,0.02,0.2,0.0,1.79,0.0,6.33,0.1,0.07,3.46,0.04,0.02,0.22,6.33,1.5,494.55
ASC069,Vegetable stock,asc_manual,72.84,17.6,0.96,0.3,1.38,0.44,0.38,853.56,343.84,67.21,3.46,5.08,5.43,2.64,49.75,30.05,0.12,0.01,0.1,0.0,0.04,0.01,0.05,15.57,0.04,0.4,0.0,2.03,0.0,3.35,0.01,0.0,0.06,0.04,0.01,0.23,3.35,1.82,330.95,cup,302.58,73.13,3.99,1.25,5.72,1.84,1.59,3545.89,1428.38,279.21,14.38,21.11,22.57,10.96,206.67,124.83,0.49,0.06,0.4,0.0,0.17,0.02,0.22,64.67,0.18,1.65,0.0,8.44,0.0,13.92,0.04,0.02,0.26,0.17,0.06,0.96,13.92,7.58,1374.85
ASC070,Chicken stock,asc_manual,125.02,29.88,0.37,3.69,1.51,0.2,0.1,139.34,167.22,66.51,10.23,3.57,30.82,4.25,58.58,56.12,0.18,0.05,3.11,0.0,0.02,0.0,0.14,1.16,0.05,0.04,0.23,0.26,4.62,2.71,0.02,0.01,1.35,0.2,0.09,0.77,2.71,0.22,6.41,cup,470.02,112.33,1.38,13.86,5.68,0.74,0.39,523.84,628.65,250.04,38.47,13.42,115.88,15.98,220.23,210.97,0.69,0.19,11.67,0.0,0.08,0.01,0.54,4.35,0.19,0.16,0.86,0.99,17.38,10.19,0.07,0.04,5.09,0.76,0.34,2.9,10.19,0.84,24.1
ASC079,Clear tomato soup (Tamatar ka soup),asc_manual,330.9,80.07,3.45,4.79,12.22,1.44,1.96,851.47,1414.0,4382.48,0.0,29.05,50.31,22.39,5135.74,232.95,1.14,0.05,0.21,0.0,0.23,0.01,0.23,0.0,3.47,6.14,0.0,14.32,0.0,11.04,0.03,0.01,0.32,0.12,0.05,0.77,11.04,13.37,3417.47,soup bowl,1315.84,318.41,13.72,19.06,48.61,5.71,7.81,3385.88,5622.76,17426.95,0.0,115.5,200.07,89.02,20422.28,926.31,4.55,0.22,0.82,0.01,0.92,0.05,0.92,0.0,13.8,24.4,0.0,56.96,0.0,43.91,0.11,0.06,1.28,0.49,0.21,3.05,43.91,53.16,13589.57
ASC080,Lentil soup,asc_manual,129.85,31.17,3.94,9.65,11.68,1.06,2.57,568.31,231.83,109.95,2.19,40.57,96.89,36.61,10418.84,350.26,2.26,0.1,1.99,0.0,0.35,0.04,0.47,9.85,0.09,1.93,0.0,8.17,0.0,8.97,0.03,0.02,0.2,0.14,0.04,0.56,8.97,4.6,2080.89,soup bowl,505.42,121.31,15.35,37.57,45.46,4.11,10.02,2212.02,902.34,427.98,8.52,157.9,377.13,142.5,40553.26,1363.3,8.79,0.38,7.74,0.01,1.38,0.15,1.82,38.32,0.37,7.52,0.0,31.8,0.0,34.92,0.1,0.06,0.76,0.53,0.16,2.2,34.92,17.9,8099.46
ASC081,Chicken consomme (Clear chicken soup),asc_manual,199.24,47.94,1.19,11.47,12.02,0.54,1.57,819.65,1205.06,595.91,17.0,35.48,102.45,32.35,8953.64,305.39,1.82,0.06,3.83,0.0,0.36,0.02,0.46,9.56,0.05,0.35,0.08,4.65,0.0,5.04,0.02,0.04,1.35,0.33,0.09,0.89,5.04,0.93,560.44,soup bowl,450.09,108.31,2.68,25.91,27.15,1.22,3.54,1851.59,2722.24,1346.15,38.4,80.15,231.43,73.07,20226.27,689.87,4.12,0.14,8.65,0.0,0.81,0.05,1.03,21.6,0.1,0.8,0.18,10.51,0.0,11.38,0.04,0.08,3.05,0.75,0.21,2.01,11.38,2.1,1266.04
ASC082,Cream of tomato soup,asc_manual,404.6,97.81,3.93,4.61,13.12,1.81,1.38,2374.48,1898.59,3845.49,5.47,39.61,56.77,19.75,4461.22,205.66,0.95,0.05,0.28,0.0,0.15,0.01,0.24,26.01,3.05,5.2,0.0,11.49,0.0,9.52,0.03,0.03,0.28,0.15,0.05,0.94,9.52,11.51,2573.71,soup bowl,1870.89,452.28,18.16,21.32,60.65,8.36,6.36,10979.6,8779.1,17781.56,25.29,183.14,262.51,91.34,20628.69,950.97,4.41,0.21,1.29,0.01,0.69,0.05,1.11,120.29,14.11,24.06,0.0,53.14,0.0,44.01,0.13,0.15,1.29,0.68,0.22,4.36,44.01,53.23,11900.84
ASC084,Cream of spinach soup,asc_manual,416.01,100.54,3.45,5.21,13.31,1.13,1.74,2433.5,1903.39,3918.17,5.47,70.77,64.44,52.29,4429.81,404.13,2.1,0.1,1.19,0.01,0.59,0.01,0.39,26.0,3.51,0.25,0.0,141.63,0.0,64.43,0.08,0.07,0.2,0.17,0.08,2.27,64.43,13.69,4180.58,soup bowl,1924.58,465.12,15.94,24.12,61.58,5.23,8.05,11258.1,8805.63,18126.64,25.29,327.4,298.11,241.92,20493.62,1869.62,9.72,0.48,5.51,0.06,2.74,0.06,1.81,120.29,16.26,1.17,0.0,655.23,0.0,298.06,0.37,0.31,0.92,0.77,0.36,10.48,298.06,63.34,19340.6
